svyear,vsic1993,ER,XR,XSH,ESH,XRS,ERS
2000-2005,6601,2,0.2,0.0156397343032715,0.00351227862198749,0.0635528874875976,0.00140986328145839
2000-2005,6603,2,0.285714285714286,0.9330145284948,0.948038622342471,34.8215257551173,6.51609402076951
2000-2005,6711,2,0.2,0.0354038583845665,0.662758848340363,0.146813186813187,0.982618587735783
2000-2005,6720,24,1,1,1,,
2000-2005,7010,4.8,0.8,0.905650487472481,1,2.39972222222222,
2000-2005,7110,3.51381215469613,0.458563535911602,0.510075842136069,0.388640579511705,1.22928868392782,0.134936111013572
2000-2005,7120,14.125,0.8125,0.0455798682168799,0.593079124003527,0.0110207557203566,0.0257961099203254
2000-2005,7211,12.5714285714286,0.571428571428571,0.533101045296167,0.72895443543834,0.85634328358209,0.27505396847352
2000-2005,7221,5.45,0.65,0.157642028528371,0.720287205287643,0.100769710838361,0.259872039651671
2000-2005,7230,1.625,1,1,0.965592848709732,,2.15874811463047
2000-2005,7310,1,0.333333333333333,0.1,0.0139296324669743,0.222222222222222,0.00470880271348309
2000-2005,7320,13.0769230769231,0.646153846153846,0.356339437606324,0.692510920564927,0.303169519545198,0.0821371629807779
2000-2005,7330,9,1,1,0.958092291134131,,2.54021758516141
2000-2005,7350,6.8,0.8,0.995274102079395,0.825733529457304,52.65,0.278725795071472
2000-2005,7390,1.52941176470588,0.823529411764706,0.709601775470039,0.868731159221705,0.523617262333917,0.254536695037739
2000-2005,7411,2.36363636363636,0.745454545454546,0.671581196581197,0.700682911059927,0.698256026151673,0.252101074214693
2000-2005,7412,5,0.678571428571429,0.606207319491131,0.509927737108408,0.729192922472217,0.0817547815018177
2000-2005,7413,9.85714285714286,0.642857142857143,0.710308184972765,0.983695024024041,1.36219125929085,1.31154283617685
2000-2005,7414,8.85454545454546,0.709090909090909,0.456954536251772,0.757684816665255,0.345217003377732,0.250405349501148
2000-2005,7421,5.0479797979798,0.414141414141414,0.132497421157525,0.444943895241863,0.216063192021537,0.0934354100395798
2000-2005,7422,3,0.705882352941177,0.209192844303689,0.441810134011543,0.110221163906628,0.108637956946157
2000-2005,7430,8.80588235294118,0.617647058823529,0.292402594671881,0.890354913101271,0.255810901328896,0.341737574406286
2000-2005,7491,10.0882352941176,0.676470588235294,0.142487307938002,0.29040398173318,0.0794694987342635,0.0214768103362862
2000-2005,7492,62.3333333333333,0.666666666666667,0.524714503031731,0.865672051599505,0.551999278726953,0.172311956042711
2000-2005,7493,16.1428571428571,0.714285714285714,0.96207820373796,0.391668877259829,10.148023549201,0.0569771318508879
2000-2005,7494,1.8130081300813,0.626016260162602,0.483483393357343,0.63658760037262,0.559196415523041,0.424177209273517
2000-2005,7495,1,1,1,0.992248799277189,,18.2874671340929
2000-2005,7499,2.45251396648045,0.603351955307263,0.495143412181465,0.779878991996015,0.644759234109619,0.242115427415186
2000-2005,8011,0.16,1,1,1,,
2000-2005,8021,0.333333333333333,1,1,0.169378641802168,,0.0679726649334991
2000-2005,8022,13.2857142857143,0.785714285714286,0.268447409319361,0.840211177407766,0.100078833356675,0.169621290953237
2000-2005,8090,25.2857142857143,0.571428571428571,0.340276816608997,0.887168175718406,0.386840448966747,0.266533823001263
2000-2005,8511,5.44444444444445,0.333333333333333,0.357210618003691,0.821047875078648,1.11143907478466,0.561806542077168
2000-2005,8513,11.5,0.6,0.886955784270371,0.762790046127215,5.2307307575514,0.167774331925445
2000-2005,8514,2,0.5,0.881927710843373,1,7.46938775510204,
2000-2005,8519,3.6,0.8,0.999701912509684,1,838.429945054945,
2000-2005,9011,3.3,0.5,0.475127485715456,0.395654045923011,0.905224550314097,0.08927473424795
2000-2005,9012,0.391304347826087,0.739130434782609,0.34742041712404,0.641516740799752,0.187898876960372,1.39185708749584
2000-2005,9013,1,0.75,0.448328010321707,1,0.270890443784146,
2000-2005,9014,7.75,1,1,1,,
2000-2005,9019,2,0.75,0.97197991012424,1,11.562893081761,
2000-2005,9020,2,,,1,,
2000-2005,9033,0.333333333333333,0.5,0.0708323396136418,0.450708805569273,0.0762320328542095,2.05132000175416
2000-2005,9041,1.09090909090909,0.409090909090909,0.0235157655525045,0.88979838303868,0.0347852179389175,1.00928462709285
2000-2005,9049,4.31578947368421,0.68421052631579,0.616534440918425,0.3868730151088,0.742059751150771,0.0884915893839474
2000-2005,9200,2.15625,0.489583333333333,0.303905821986451,0.504995512756149,0.455165399498579,0.241492761549905
2000-2005,9301,0.531914893617021,0.691489361702128,0.354156286912273,0.829658726892035,0.24465390982913,0.389645427325734
2005-2010,111,5.21739130434783,0.521739130434783,0.365126366521688,0.332441728190095,0.52719021811918,0.0414997139861125
2005-2010,112,3,0.5,0.530049854818386,0.422297940696702,1.12788528794591,0.121832679982131
2005-2010,113,0.739583333333333,0.364583333333333,0.0986211625160816,0.199109948453356,0.190688521163661,0.20133976477933
2005-2010,114,2.75,0.5,0.978300180831826,0.934518241347053,45.0833333333333,1.2974025974026
2005-2010,115,1.53846153846154,0.384615384615385,0.118531712926428,0.341746621535643,0.215153220443035,0.103834369170396
2005-2010,116,3.56666666666667,0.616666666666667,0.129048550595767,0.38742182548339,0.0921054432415655,0.0886604732612535
2005-2010,117,2.6969696969697,0.666666666666667,0.597134713471347,0.492753472449228,0.741109663005027,0.0982342906762568
2005-2010,121,2.36144578313253,0.55421686746988,0.0843931715201858,0.51410124738181,0.0741382238941457,0.172741537366486
2005-2010,122,3.1304347826087,0.565217391304348,0.251729133563885,0.870040827764437,0.25878034777888,0.743858255034986
2005-2010,123,1.78260869565217,0.608695652173913,0.17831026823851,0.524024169988079,0.139502813715545,0.134261831283138
2005-2010,130,30.1666666666667,0.583333333333333,0.288076523802462,0.869774028083101,0.289032392459119,0.0369003302481882
2005-2010,140,18.8896551724138,0.410344827586207,0.172747875502379,0.543362311336322,0.300070963564112,0.0582144132527872
2005-2010,200,1.07443365695793,0.446601941747573,0.387578735247268,0.199881482018587,0.784199756540703,0.129422147622127
2005-2010,500,0.537214443625645,0.490051584377303,0.388030959955645,0.410137472330746,0.659813771634234,0.655251240427883
2005-2010,1010,0.884615384615385,0.25,0.00592795909312799,0.729348898751581,0.01788992804099,1.93322161035583
2005-2010,1020,3.25,,,0.893027047926438,,2.56866383400523
2005-2010,1030,1.0625,0.375,0.0960830376035054,0.893899139276797,0.177160516582495,2.47793947909512
2005-2010,1110,0.6,0.1,0,0.0380978101362482,0,0.0462078635721289
2005-2010,1310,2.31428571428571,0.457142857142857,0.046598624711207,0.592986365067448,0.0580404730670717,0.449666712211835
2005-2010,1320,1.43137254901961,0.529411764705882,0.172298441177139,0.475777882605398,0.185035497762077,0.310817925498928
